Section,n,avg degree,avg geodesic len,num components,largest component size
52,2,1.0,1.0,1,2
102,2,1.0,1.0,1,2
2,4,2.0,1.0,2,2
83,6,3.0,1.8333333333333333,2,4
81,10,5.4,2.2888888888888888,1,10
7,14,5.285714285714286,2.9450549450549453,1,14
10,20,7.9,2.9450549450549453,2,14
21,21,7.523809523809524,2.9450549450549453,3,14
47,22,7.2727272727272725,2.9714285714285715,3,15
54,25,6.88,3.0441176470588234,4,17
25,26,6.615384615384615,3.0441176470588234,5,17
66,27,6.37037037037037,3.0441176470588234,6,17
46,28,6.142857142857143,3.0441176470588234,7,17
18,30,5.933333333333334,3.4853801169590644,7,19
43,38,6.2631578947368425,3.4853801169590644,7,19
11,41,6.097560975609756,3.4853801169590644,8,19
32,41,6.097560975609756,3.4853801169590644,8,19
45,41,6.097560975609756,3.4853801169590644,8,19
49,41,6.097560975609756,3.4853801169590644,8,19
78,41,6.097560975609756,3.4853801169590644,8,19
109,42,5.9523809523809526,3.4853801169590644,9,19
22,56,8.285714285714286,4.115248226950355,7,48
50,56,8.285714285714286,4.115248226950355,7,48
6,57,8.140350877192983,4.115248226950355,8,48
12,58,8.862068965517242,4.105442176870748,8,49
19,58,8.862068965517242,4.105442176870748,8,49
24,58,8.862068965517242,4.105442176870748,8,49
26,59,8.711864406779661,4.105442176870748,9,49
28,64,9.59375,3.937373737373737,8,55
42,65,9.446153846153846,3.937373737373737,9,55
62,65,9.446153846153846,3.937373737373737,9,55
64,65,9.446153846153846,3.937373737373737,9,55
71,69,13.681159420289855,3.7521917007597896,9,59
74,70,15.314285714285715,3.740677966101695,9,60
9,71,15.211267605633802,3.843997884717081,8,62
13,71,15.211267605633802,3.843997884717081,8,62
16,71,15.211267605633802,3.843997884717081,8,62
27,71,15.211267605633802,3.843997884717081,8,62
30,71,15.211267605633802,3.843997884717081,8,62
31,74,15.702702702702704,3.8774038461538463,8,65
33,74,16.2972972972973,4.04375,8,65
35,74,16.324324324324323,4.04375,8,65
37,74,17.2972972972973,4.055288461538462,8,65
40,75,17.30666666666667,3.9258741258741257,8,66
41,75,17.333333333333332,3.9258741258741257,8,66
75,75,17.84,3.895104895104895,8,66
80,75,17.92,3.895104895104895,8,66
91,76,19.07894736842105,3.919945725915875,8,67
99,76,19.5,3.919945725915875,8,67
101,77,19.896103896103895,3.9543459174714664,8,68
104,79,19.72151898734177,3.96231884057971,8,70
106,80,19.975,3.929175050301811,8,71
126,81,20.59259259259259,4.035993740219093,8,72
8,81,20.790123456790123,4.02112676056338,8,72
17,81,20.814814814814813,4.02112676056338,8,72
95,86,19.906976744186046,4.189144189144189,7,78
48,86,19.976744186046513,4.17016317016317,7,78
14,87,20.114942528735632,4.113924050632911,7,79
15,96,20.770833333333332,3.9961695607763024,6,89
39,100,21.28,3.964703132304815,6,93
51,100,22.94,3.8765778401122017,6,93
56,103,24.310679611650485,3.8510964912280703,6,96
96,103,24.699029126213592,3.8508771929824563,6,96
23,103,24.718446601941746,3.848582474226804,5,97
20,104,24.692307692307693,3.8426257100778454,5,98
34,104,25.53846153846154,3.831474857984431,5,98
36,113,26.743362831858406,3.795450537824017,5,107
38,123,27.951219512195124,3.6937813144709697,5,117
44,123,28.065040650406505,3.6937813144709697,5,117
29,124,27.838709677419356,3.6937813144709697,6,117
57,126,27.714285714285715,3.658738071499786,6,119
110,126,27.793650793650794,3.642643498077197,6,119
53,126,28.11111111111111,3.636234154678821,6,119
55,131,27.236641221374047,3.67309205350118,6,124
59,141,26.4822695035461,3.698581560283688,1,141
60,143,28.503496503496503,3.690830296464099,1,143
67,144,30.375,3.638111888111888,1,144
69,146,31.767123287671232,3.5934813415210205,1,146
58,147,32.394557823129254,3.586990960767869,1,147
68,148,34.608108108108105,3.6082919654348227,1,148
70,149,35.395973154362416,3.603210593143479,1,149
73,166,35.48192771084337,3.533406352683461,1,166
61,167,35.32934131736527,3.5717480701248108,1,167
63,167,35.38922155688623,3.5513310727941705,1,167
65,171,35.32163742690059,3.5162022703818367,1,171
76,173,40.87861271676301,3.45805887888157,1,173
98,174,41.18390804597701,3.462959271809182,1,174
100,177,40.93785310734463,3.4469054956343093,1,177
84,180,41.78888888888889,3.4251396648044694,1,180
85,181,41.80110497237569,3.4249232658072435,1,181
86,182,41.64835164835165,3.4297856839293304,1,182
87,182,41.89010989010989,3.4332463116993504,1,182
88,182,42.0989010989011,3.429057130714589,1,182
89,183,42.59016393442623,3.369362877559599,1,183
90,183,42.91803278688525,3.376568786404852,1,183
92,183,43.57377049180328,3.38263375968294,1,183
94,183,44.16393442622951,3.3839548429712365,1,183
77,184,45.43478260869565,3.229983368971252,1,184
79,184,45.5,3.229983368971252,1,184
82,184,45.54347826086956,3.230102162033737,1,184
93,184,45.66304347826087,3.2456046566880494,1,184
97,187,47.22994652406417,3.219538841929734,1,187
103,187,47.62566844919786,3.1718705077338853,1,187
111,187,48.106951871657756,3.1662354091196594,1,187
105,188,53.48936170212766,3.0703151666856296,1,188
147,188,53.48936170212766,3.0703151666856296,1,188
149,189,53.37566137566137,3.0796465158167288,1,189
150,189,53.37566137566137,3.0796465158167288,1,189
116,189,53.74603174603175,3.0815602836879434,1,189
122,189,53.75661375661376,3.0815602836879434,1,189
118,189,53.78835978835979,3.0815602836879434,1,189
107,189,53.93650793650794,3.0786333445907914,1,189
