Section,n,avg degree,avg geodesic len,num components,largest component size
1,11,20.90909090909091,2.709090909090909,1,11
2,13,18.153846153846153,2.709090909090909,2,11
3,13,18.923076923076923,2.8,2,11
4,13,19.692307692307693,2.8181818181818183,2,11
5,19,15.473684210526315,2.982456140350877,1,19
6,20,14.7,2.982456140350877,2,19
7,23,13.652173913043478,3.103896103896104,2,22
8,26,12.692307692307692,3.2866666666666666,2,25
9,29,11.655172413793103,3.2866666666666666,3,25
10,35,12.057142857142857,3.2866666666666666,4,25
11,38,11.421052631578947,3.2866666666666666,5,25
12,39,12.41025641025641,3.3076923076923075,5,26
13,39,12.41025641025641,3.3076923076923075,5,26
14,42,12.285714285714286,3.458128078817734,5,29
15,54,14.11111111111111,2.817073170731707,5,41
16,54,14.11111111111111,2.817073170731707,5,41
17,54,14.148148148148149,2.8024390243902437,5,41
18,55,14.0,2.8281068524970965,5,42
19,55,14.0,2.8281068524970965,5,42
20,56,14.142857142857142,2.8327796234772977,5,43
21,56,14.142857142857142,2.8327796234772977,5,43
22,67,15.014925373134329,3.080200501253133,4,57
23,68,14.823529411764707,3.0937689050211734,4,58
24,68,14.823529411764707,3.0937689050211734,4,58
25,68,14.823529411764707,3.0937689050211734,4,58
26,69,14.608695652173912,3.0937689050211734,5,58
27,69,14.608695652173912,3.0937689050211734,5,58
28,73,15.452054794520548,3.087784241142253,5,62
29,74,15.243243243243244,3.087784241142253,6,62
30,74,15.243243243243244,3.087784241142253,6,62
31,76,15.921052631578947,3.1780753968253967,6,64
32,76,15.921052631578947,3.1780753968253967,6,64
33,76,16.5,3.3239087301587302,6,64
34,76,17.657894736842106,3.283234126984127,6,64
35,76,17.68421052631579,3.283234126984127,6,64
36,88,19.431818181818183,3.16140350877193,6,76
37,88,20.25,3.1396491228070174,6,76
38,101,21.821782178217823,3.105720122574055,6,89
39,103,22.699029126213592,3.0945054945054946,6,91
40,104,22.653846153846153,3.0258002866698517,6,92
41,104,22.673076923076923,3.0258002866698517,6,92
42,104,22.673076923076923,3.0258002866698517,6,92
43,111,21.783783783783782,3.6635531135531134,5,105
44,111,21.90990990990991,3.6635531135531134,5,105
45,111,21.90990990990991,3.6635531135531134,5,105
46,112,21.714285714285715,3.6635531135531134,6,105
47,112,21.732142857142858,3.6635531135531134,6,105
48,112,21.785714285714285,3.6353479853479853,6,105
49,112,21.785714285714285,3.6353479853479853,6,105
50,112,21.785714285714285,3.6353479853479853,6,105
51,113,22.920353982300885,3.5752021563342318,6,106
52,114,22.736842105263158,3.581026274025745,6,107
53,114,23.087719298245613,3.5670957503085874,6,107
54,115,22.991304347826087,3.557805469020422,6,108
55,121,22.06611570247934,3.5777053252600526,6,114
56,122,23.59016393442623,3.574370709382151,6,115
57,124,23.532258064516128,3.644857058650162,6,117
58,125,24.336,3.628857018687527,6,118
59,136,23.573529411764707,3.659041394335512,1,136
60,138,25.695652173913043,3.6441341373109064,1,138
61,139,25.58273381294964,3.693045563549161,1,139
62,139,25.58273381294964,3.693045563549161,1,139
63,139,25.654676258992804,3.6700031279324365,1,139
64,139,25.654676258992804,3.6700031279324365,1,139
65,143,25.846153846153847,3.632916379395253,1,143
66,143,25.846153846153847,3.632916379395253,1,143
67,144,27.72222222222222,3.5816822066822067,1,144
68,145,29.958620689655174,3.594252873563218,1,145
69,147,31.346938775510203,3.5407697325505545,1,147
